species,region,quantile,mean,median,lower,upper
ctenodiscus crispatus,ebs,quantile_0.01,-0.7079919535522864,-0.7076488048217009,-1.2938603172114553,-0.12772197881265107
cyclopterus lumpus,neus,quantile_0.01,19.529054203881213,19.523827728125518,16.75828909384823,22.314473644126597
cynoscion regalis,neus,quantile_0.99,6.941340356892802,6.959068684858721,2.0860502255101707,11.743252543323482
dasycottus setiger,ebs,quantile_0.01,1.5695041386630064,1.5699597171279567,0.8837846760706157,2.257809007987841
dipturus laevis,neus,quantile_0.01,7.4338493064079545,7.447057898722548,3.4163929274210836,11.428076447292307
enchelyopus cimbrius,neus,quantile_0.01,18.10303623744194,18.109096205672117,15.049191031072144,21.163881937918575
eopsetta jordani,wc,quantile_0.01,9.358602235126822,9.358590412024059,8.408068396911021,10.307662803785135
erimacrus isenbeckii,ebs,quantile_0.01,19.446814185515173,19.43147080098636,10.764120352125849,28.157061150081468
eunoe depressa,ebs,quantile_0.01,4.699973083584797,4.701740626933665,3.860616000995248,5.538282083521058
eunoe nodosa,ebs,quantile_0.01,1.1979873403242103,1.1995599602106042,0.6876579888316074,1.7064631802854986
fusitriton oregonensis,ebs,quantile_0.01,-0.6534239390779926,-0.6542691689715474,-1.4233030703996266,0.12047646968472848
gadus morhua,neus,quantile_0.01,11.265621234119202,11.265522389547346,9.795408445956124,12.723462041318134
glyptocephalus cynoglossus,neus,quantile_0.01,1.9726498006361108,1.972038542988437,0.4591260680051027,3.4706962631057254
hemilepidotus jordani,ebs,quantile_0.01,7.245814130137663,7.249386141408833,5.295265018181746,9.191347959154886
hemilepidotus jordani,ebs,quantile_0.99,-6.787549652329695,-6.788438915318741,-8.43841676623394,-5.140209164204445
hemilepidotus papilio,ebs,quantile_0.01,-12.274341954905413,-12.263705500792245,-17.922344696953026,-6.631843248459833
hemitripterus americanus,neus,quantile_0.01,11.486415338762523,11.48403425884477,9.285630082748261,13.697510410311137
hemitripterus bolini,ebs,quantile_0.01,1.367222887476438,1.3676285458044766,0.5744300593801805,2.1610391513157285
hippoglossoides elassodon,wc,quantile_0.01,9.784438917414253,9.780885682786103,1.842839764513733,17.744357425894748
hippoglossoides platessoides,neus,quantile_0.01,0.9223780650251898,0.9223433292326564,0.6979987631463443,1.1474421828959105
hippoglossoides robustus,ebs,quantile_0.01,-3.0032872233225922,-2.999121186199251,-5.330074026083475,-0.6657517838436119
hippoglossus hippoglossus,neus,quantile_0.01,14.87906348735958,14.876670010731448,11.229358668799724,18.52547966766817
hippoglossus stenolepis,wc,quantile_0.99,-11.960021468670249,-11.956979590038774,-20.44422773883341,-3.425433720643399
homarus americanus,neus,quantile_0.01,24.487493970852945,24.486976636522535,23.148581955685277,25.825782104527832
hyas coarctatus,ebs,quantile_0.99,-0.25355497982827835,-0.25415062258840104,-0.6463291735516802,0.14092660965205
hyas lyratus,ebs,quantile_0.99,-4.954340282187636,-4.952226951452087,-7.528143268540325,-2.3763303903758386
icelinus filamentosus,wc,quantile_0.01,7.716203514601651,7.71507240586765,6.403956016887949,9.029821427907603
icelus spiniger,ebs,quantile_0.01,2.9140259685390033,2.9133648258959624,1.7852618696842857,4.03738693837043
labidochirus splendescens,ebs,quantile_0.01,7.551170768322613,7.552930739156498,4.165778826088195,10.934603453855747
lepidopsetta polyxystra,ebs,quantile_0.99,-14.037638391870086,-14.03917871213603,-17.99059164881872,-10.102349975519964
leptagonus frenatus,ebs,quantile_0.01,0.7460681331783003,0.745633435673964,-0.4417078404994741,1.9303553446142039
leptasterias arctica,ebs,quantile_0.01,2.4173954776755155,2.421624798606964,0.9278753943933481,3.9000649955060687
leptasterias arctica,ebs,quantile_0.99,-6.221375058451994,-6.224729586614647,-10.086967855822303,-2.33831002728922
leptasterias polaris,ebs,quantile_0.01,-0.018068566212868845,-0.01790209659855842,-0.1535797714834688,0.11740718111191764
leptoclinus maculatus,ebs,quantile_0.01,6.976120988164936,6.9777093442900835,5.52508668642039,8.422681154137289
lethasterias nanimensis,ebs,quantile_0.01,3.4532351433222668,3.455926957046093,1.6201442607656333,5.262447793476442
leucoraja erinacea,neus,quantile_0.01,0.8602133901587501,0.8584546308455152,-0.3422939238629458,2.0709980323674757
leucoraja ocellata,neus,quantile_0.01,-12.72139002026368,-12.723902901638283,-15.613925153575645,-9.834923012291172
limanda aspera,ebs,quantile_0.99,-2.246419635442536,-2.238812109666,-4.93260350923078,0.4326031349625883
limanda proboscidea,ebs,quantile_0.99,-5.235231316306097,-5.234814186090592,-6.115861900808742,-4.353223643335823
limulus polyphemus,neus,quantile_0.99,-0.08795201255489238,-0.08876123772497474,-0.9332264115731206,0.7609964445174843
loligo opalescens,wc,quantile_0.99,-12.00360514585085,-12.014298337509196,-20.488905307857276,-3.536398865704538
loligo pealeii,neus,quantile_0.99,2.3446472816625343,2.345847277367223,-0.3007464759531842,5.004948944532334
lycodes brevipes,ebs,quantile_0.01,7.719695545259144,7.7193598304308315,2.843107922606185,12.605096612487763
lycodes diapterus,wc,quantile_0.01,1.5529625484792708,1.5548153655450898,-3.0220617022915217,6.127228332120387
lycodes palearis,ebs,quantile_0.01,0.9388364513083572,0.9376461944199235,0.1941097691926448,1.6917143807645227
lycodes raridens,ebs,quantile_0.01,1.8056040058325464,1.806323022177899,0.9183975683833093,2.6950843934470603
mactromeris polynyma,ebs,quantile_0.99,-11.137054113104918,-11.141530507792545,-13.968389860085423,-8.299087339655589
malacoraja senta,neus,quantile_0.01,3.489205879363988,3.489924168999038,1.4140355272986787,5.580909259652196
mallotus villosus,ebs,quantile_0.99,-1.6203750850073608,-1.6229044516584872,-3.8918890050292947,0.6677502419498113
melanogrammus aeglefinus,neus,quantile_0.01,0.3997402171882149,0.4001909712155387,-0.16807002489061296,0.9664831044630191
menidia menidia,neus,quantile_0.99,3.6230295051676946,3.621553991513445,1.5798116962124698,5.674342241096429
menticirrhus saxatilis,neus,quantile_0.99,-3.13887833476756,-3.1324970558801235,-5.407639362115825,-0.8871519732220324
merluccius albidus,neus,quantile_0.99,-24.762849476579287,-24.761129182960126,-28.91815250534853,-20.62043828910517
merluccius bilinearis,neus,quantile_0.01,12.92424080419625,12.930499260408006,10.393575839680844,15.443273513981877
metacarcinus magister,wc,quantile_0.01,4.9159185261426375,4.908497317084311,0.3327458216069439,9.541420389313338
morone saxatilis,neus,quantile_0.99,-5.962771122952956,-5.963928349308681,-9.550901243914193,-2.3911033658356793
mustelus canis,neus,quantile_0.99,-2.052920388163268,-2.0564352495545157,-7.217138654329913,3.1101594191646296
myoxocephalus jaok,ebs,quantile_0.99,1.0962258717067412,1.0963903586314894,-0.45367118964433445,2.6457327167222946
myoxocephalus octodecemspinosus,neus,quantile_0.01,8.063847481094271,8.064882327021257,6.876289021738924,9.246940418981689
